Position_X,Position_Y,Scale_X,Scale_Y,Offset_X,Offset_Y,HasHitBoxTop,HitBoxTopPosition_X,HitBoxTopPosition_Y,HitBoxTopScale_X,HitBoxTopScale_Y,HasHitBoxBottom,HitBoxBottomPosition_X,HitBoxBottomPosition_Y,HitBoxBottomScale_X,HitBoxBottomScale_Y,HasAttackBox,AttackBoxPosition_X,AttackBoxPosition_Y,AttackBoxScale_X,AttackBoxScale_Y,HasPushBox,PushBoxPosition_X,PushBoxPosition_Y,PushBoxScale_X,PushBoxScale_Y,HasGrabBox,GrabBoxPosition_X,GrabBoxPosition_Y,GrabBoxScale_X,GrabBoxScale_Y,
9,138,82,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105,158,76,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
195,157,76,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
285,158,76,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
375,159,77,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
466,152,75,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
555,92,91,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
660,117,89,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,295,97,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-308.7,407.4,617.4,0,0,0,0,0,
120,297,96,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-304.5,403.2,609,0,0,0,0,0,
230,300,95,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-298.2,399,596.4,0,0,0,0,0,
339,301,95,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-296.1,399,592.2,0,0,0,0,0,
448,300,97,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-298.2,407.4,596.4,0,0,0,0,0,
559,297,97,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-304.5,407.4,609,0,0,0,0,0,
9,456,92,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-287.7,386.4,575.4,0,0,0,0,0,
115,469,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-260.4,361.2,520.8,0,0,0,0,0,
215,484,88,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-233.1,369.6,466.2,0,0,0,0,0,
317,480,88,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-241.5,369.6,483,0,0,0,0,0,
419,478,88,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-245.7,369.6,491.4,0,0,0,0,0,
521,481,88,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-239.4,369.6,478.8,0,0,0,0,0,
623,483,88,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-235.2,369.6,470.4,0,0,0,0,0,
725,472,86,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-254.1,361.2,508.2,0,0,0,0,0,
825,458,92,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-283.5,386.4,567,0,0,0,0,0,
9,609,86,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-287.7,361.2,575.4,0,0,0,0,0,
109,614,92,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-277.2,386.4,554.4,0,0,0,0,0,
215,616,92,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-273,386.4,546,0,0,0,0,0,
321,609,83,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-287.7,348.6,575.4,0,0,0,0,0,
418,610,80,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-285.6,336,571.2,0,0,0,0,0,
512,612,86,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-281.4,361.2,562.8,0,0,0,0,0,
612,615,85,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-275.1,357,550.2,0,0,0,0,0,
711,611,78,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-283.5,327.6,567,0,0,0,0,0,
803,612,83,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-281.4,348.6,562.8,0,0,0,0,0,
900,609,86,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-287.7,361.2,575.4,0,0,0,0,0,
9,777,84,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-260.4,352.8,520.8,0,0,0,0,0,
107,760,98,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-296.1,411.6,592.2,0,0,0,0,0,
219,797,84,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-218.4,352.8,436.8,0,0,0,0,0,
9,955,84,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-260.4,352.8,520.8,0,0,0,0,0,
107,915,92,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
213,936,92,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
319,947,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
426,936,92,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
532,915,92,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
638,975,84,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-218.4,352.8,436.8,0,0,0,0,0,
9,1125,102,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
125,1152,117,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
256,1142,87,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
357,1143,88,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
459,1142,87,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
560,1143,88,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
662,1102,108,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
784,1093,89,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-287.7,373.8,575.4,0,0,0,0,0,
887,1093,86,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-287.7,361.2,575.4,0,0,0,0,0,
9,1268,88,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
111,1288,92,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
217,1294,89,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
320,1293,87,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
421,1294,88,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
523,1293,87,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
624,1294,88,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
726,1287,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
834,1276,102,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
950,1244,89,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-287.7,373.8,575.4,0,0,0,0,0,
9,1402,89,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-289.8,373.8,579.6,0,0,0,0,0,
112,1402,97,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-289.8,407.4,579.6,0,0,0,0,0,
223,1408,138,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-122.25,-277.982,335.1,552.837,0,0,0,0,0,
375,1409,121,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-81.75,-275.882,344.7,548.637,0,0,0,0,0,
510,1404,92,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-285.6,386.4,571.2,0,0,0,0,0,
651,1395,92,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-304.5,386.4,609,0,0,0,0,0,
757,1401,126,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-102.75,-298.935,323.7,569.73,0,0,0,0,0,
897,1395,92,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-304.5,386.4,609,0,0,0,0,0,
9,1572,92,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-287.7,386.4,575.4,0,0,0,0,0,
115,1570,83,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-291.9,348.6,583.8,0,0,0,0,0,
212,1568,83,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-296.1,348.6,592.2,0,0,0,0,0,
309,1570,83,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-291.9,348.6,583.8,0,0,0,0,0,
406,1572,92,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-287.7,386.4,575.4,0,0,0,0,0,
512,1576,96,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-279.3,403.2,558.6,0,0,0,0,0,
622,1554,104,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-34.5,-273.127,337.8,540.002,0,0,0,0,0,
740,1592,184,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-169.5,-251.953,313.8,475.766,0,0,0,0,0,
9,1769,170,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-142.5,-250.682,312,498.237,0,0,0,0,0,
193,1768,162,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-129.75,-250.437,306.9,500.873,0,0,0,0,0,
369,1728,115,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-50.25,-264.867,295.5,510.974,0,0,0,0,0,
498,1723,80,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.25,-269.895,307.5,539.791,0,0,0,0,0,
9,1904,85,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-287.7,357,575.4,0,0,0,0,0,
108,1910,73,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-275.1,306.6,550.2,0,0,0,0,0,
195,1907,88,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-281.4,369.6,562.8,0,0,0,0,0,
297,1902,143,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-120.75,-244.999,353.1,499.379,0,0,0,0,0,
454,1904,148,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-126.75,-289.263,368.1,572.273,0,0,0,0,0,
616,1907,88,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-281.4,369.6,562.8,0,0,0,0,0,
718,1910,73,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-275.1,306.6,550.2,0,0,0,0,0,
805,1904,85,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-287.7,357,575.4,0,0,0,0,0,
9,2055,88,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-306.6,369.6,613.2,0,0,0,0,0,
111,2056,85,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-304.5,357,609,0,0,0,0,0,
210,2058,104,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-300.3,436.8,600.6,0,0,0,0,0,
328,2059,106,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-298.2,445.2,596.4,0,0,0,0,0,
448,2056,85,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-304.5,357,609,0,0,0,0,0,
547,2055,88,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-306.6,369.6,613.2,0,0,0,0,0,
9,2233,92,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-287.7,386.4,575.4,0,0,0,0,0,
115,2231,83,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-291.9,348.6,583.8,0,0,0,0,0,
212,2229,83,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-296.1,348.6,592.2,0,0,0,0,0,
309,2231,83,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-291.9,348.6,583.8,0,0,0,0,0,
406,2237,96,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-279.3,403.2,558.6,0,0,0,0,0,
516,2215,104,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-35.25,-262.966,324.3,532.185,0,0,0,0,0,
634,2257,131,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-58.5,-238.863,433.2,471.473,0,0,0,0,0,
779,2273,107,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-47.25,-202.137,354.9,410.527,0,0,0,0,0,
900,2257,130,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-72,-242.772,402,463.656,0,0,0,0,0,
9,2384,115,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-54.75,-264.867,361.5,535.988,0,0,0,0,0,
138,2411,96,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,-271.483,307.2,542.966,0,0,0,0,0,
283,2423,99,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,-222.833,304.8,426.905,0,0,0,0,0,
396,2430,110,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.5,-237.837,369,475.673,0,0,0,0,0,
520,2419,138,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-36.75,-268.753,287.1,506.24,0,0,0,0,0,
672,2418,114,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.25,-264.6,330.3,519.82,0,0,0,0,0,
800,2411,105,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.75,-253.505,343.5,507.009,0,0,0,0,0,
9,2558,102,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-37.5,-200.958,341.4,395.663,0,0,0,0,0,
125,2585,117,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.5,-162.237,488.4,330.727,0,0,0,0,0,
256,2597,137,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-66.75,-141.727,441.9,270.947,0,0,0,0,0,
407,2586,166,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-63,-161.7,571.2,323.4,0,0,0,0,0,
587,2586,166,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-75.75,-162.237,545.7,330.727,0,0,0,0,0,
767,2608,149,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-132.3,625.8,264.6,0,0,0,0,0,
930,2584,125,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-180.6,525,361.2,0,0,0,0,0,
9,2742,89,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-182.7,373.8,365.4,0,0,0,0,0,
