Position_X,Position_Y,Scale_X,Scale_Y,Offset_X,Offset_Y,HasHitBoxTop,HitBoxTopPosition_X,HitBoxTopPosition_Y,HitBoxTopScale_X,HitBoxTopScale_Y,HasHitBoxBottom,HitBoxBottomPosition_X,HitBoxBottomPosition_Y,HitBoxBottomScale_X,HitBoxBottomScale_Y,HasAttackBox,AttackBoxPosition_X,AttackBoxPosition_Y,AttackBoxScale_X,AttackBoxScale_Y,HasPushBox,PushBoxPosition_X,PushBoxPosition_Y,PushBoxScale_X,PushBoxScale_Y,HasGrabBox,GrabBoxPosition_X,GrabBoxPosition_Y,GrabBoxScale_X,GrabBoxScale_Y,
9,93,56,118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,94,56,117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
149,93,56,118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
219,92,37,119,-50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
270,101,62,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
346,114,63,97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
423,104,64,107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,227,73,101,0,0,1,32.25,-348.894,206.1,141.232,1,21.75,-135.495,218.1,274.118,0,0,0,0,0,1,0,-212.1,306.6,424.2,0,0,0,0,0,
96,226,73,102,0,0,1,33,-354.121,204.6,139.179,1,24,-141.504,189.6,273.627,0,0,0,0,0,1,0,-214.2,306.6,428.4,0,0,0,0,0,
183,225,73,103,0,0,1,39,-357.784,207.6,149.632,1,23.25,-135.005,182.1,273.137,0,0,0,0,0,1,0,-216.3,306.6,432.6,0,0,0,0,0,
270,225,73,103,0,0,1,41.25,-357.784,200.1,143.379,1,21,-141.259,183.6,279.391,0,0,0,0,0,1,0,-216.3,306.6,432.6,0,0,0,0,0,
357,225,74,103,2,0,1,48.5,-358.566,205.8,138.689,1,20.75,-145.167,180.3,268.447,0,0,0,0,0,1,2,-216.3,310.8,432.6,0,0,0,0,0,
445,226,75,102,5,0,1,54.5,-357.247,210,148.559,1,28.25,-137.595,190.5,275.191,0,0,0,0,0,1,5,-214.2,315,428.4,0,0,0,0,0,
534,227,74,101,2,0,1,50,-355.929,199.8,127.162,1,25.25,-143.312,198.3,283.498,0,0,0,0,0,1,2,-212.1,310.8,424.2,0,0,0,0,0,
622,228,73,100,0,1,1,42.75,-348.92,200.1,133.905,1,35.25,-133.959,197.1,266.791,0,0,0,0,0,1,0,-209,306.6,420,0,0,0,0,0,
709,228,73,100,0,1,1,32.25,-345.012,203.1,141.722,1,27.75,-132.395,209.1,263.664,0,0,0,0,0,1,0,-209,306.6,420,0,0,0,0,0,
9,342,64,98,0,1,1,11.25,-340.812,177.3,142.702,1,3,-128.195,181.8,261.518,0,0,0,0,0,1,0,-204.8,268.8,411.6,0,0,0,0,0,
87,372,65,68,0,9,1,-3,-215.876,168,115.194,1,-15,-70.484,225,155.841,0,0,0,0,0,1,0,-133.8,273,285.6,0,0,0,0,0,
166,379,66,61,2,8,1,-11.5,-192.014,175.2,112.371,1,-16.75,-60.6924,218.7,137.385,0,0,0,0,0,1,2,-120.1,277.2,256.2,0,0,0,0,0,
246,378,66,62,2,8,1,-14.5,-193.333,175.2,111.881,1,-10,-62.0107,205.2,140.021,0,0,0,0,0,1,2,-122.2,277.2,260.4,0,0,0,0,0,
326,377,66,63,2,8,1,-16,-200.905,172.2,105.137,1,-16,-66.4557,205.2,145.785,0,0,0,0,0,1,2,-124.3,277.2,264.6,0,0,0,0,0,
406,376,66,64,2,8,1,-12.25,-201.441,173.7,99.9572,1,-16,-67.774,199.2,145.295,0,0,0,0,0,1,2,-126.4,277.2,268.8,0,0,0,0,0,
486,377,66,63,2,8,1,-10,-202.468,184.2,108.264,1,-9.25,-66.4557,218.7,148.911,0,0,0,0,0,1,2,-124.3,277.2,264.6,0,0,0,0,0,
566,378,66,62,2,8,1,-7,-198.023,181.2,99.3741,1,-7,-66.7008,220.2,149.402,0,0,0,0,0,1,2,-122.2,277.2,260.4,0,0,0,0,0,
646,372,65,68,0,9,1,-2.25,-217.44,148.5,115.194,1,-3.75,-72.829,196.5,157.405,0,0,0,0,0,1,0,-133.8,273,285.6,0,0,0,0,0,
